Dataset,Model,NA_Acc,NA_CI,NA_F1,F1_CI,RT_MAE,MAE_CI
BPI2015_1,D-TAIA,52.5,2.8,0.472,0.031,18.45,1.42
BPI2015_1,FT+TinyLLM,53.8,3.1,0.481,0.034,20.12,1.58
BPI2015_1,LSTM,42.8,4.5,0.401,0.046,22.85,1.75
BPI2015_1,XGBoost,43.5,4.2,0.418,0.041,24.18,1.82
BPI2015_1,MT-RNN,40.2,5.8,0.383,0.054,27.45,2.15
BPI2015_2,D-TAIA,48.5,3.2,0.438,0.035,28.72,1.95
BPI2015_2,FT+TinyLLM,45.8,3.5,0.412,0.038,30.45,2.18
BPI2015_2,LSTM,40.5,5.2,0.374,0.051,33.28,2.42
BPI2015_2,XGBoost,41.2,4.8,0.389,0.047,38.15,2.85
BPI2015_2,MT-RNN,38.5,6.5,0.356,0.061,43.62,3.45
BPI2015_3,D-TAIA,55.2,2.5,0.503,0.028,38.55,2.28
BPI2015_3,FT+TinyLLM,51.8,2.9,0.471,0.032,41.22,2.45
BPI2015_3,LSTM,44.5,4.8,0.421,0.048,45.85,2.92
BPI2015_3,XGBoost,45.8,4.5,0.437,0.044,52.34,3.18
BPI2015_3,MT-RNN,42.2,6.2,0.398,0.057,61.28,4.05
BPI2015_4,D-TAIA,53.8,2.7,0.489,0.030,24.18,1.65
BPI2015_4,FT+TinyLLM,50.5,3.0,0.458,0.033,26.45,1.88
BPI2015_4,LSTM,55.2,5.0,0.496,0.049,29.72,2.15
BPI2015_4,XGBoost,44.5,4.6,0.422,0.045,31.85,2.48
BPI2015_4,MT-RNN,41.5,6.0,0.391,0.056,36.42,3.12
BPI2015_5,D-TAIA,51.8,2.9,0.461,0.032,32.85,2.12
BPI2015_5,FT+TinyLLM,48.5,3.2,0.434,0.035,31.42,2.28
BPI2015_5,LSTM,42.5,5.1,0.398,0.050,35.65,2.55
BPI2015_5,XGBoost,43.8,4.7,0.411,0.046,36.92,2.72
BPI2015_5,MT-RNN,40.8,6.3,0.374,0.059,41.15,3.28