Dataset,Cases,Events,D-TAIA,DTAIA_std,FT+TinyLLM,FT_std,LSTM,LSTM_std,XGBoost,XGBoost_std,MT-RNN,MTRNN_std
BPI2012,13087,262200,0.548,0.038,0.531,0.041,0.048,0.004,0.142,0.012,0.031,0.003
BPI2017,31509,1202267,0.612,0.042,0.598,0.045,0.085,0.006,0.285,0.018,0.058,0.005
BPI2020_DD,10500,56437,0.535,0.036,0.522,0.038,0.038,0.003,0.118,0.010,0.025,0.002
BPI2020_ID,6449,72151,0.528,0.035,0.512,0.038,0.042,0.004,0.128,0.011,0.028,0.002
BPI2020_PTC,2099,18246,0.498,0.031,0.485,0.034,0.022,0.002,0.075,0.008,0.015,0.002
BPI2020_RFP,6886,36796,0.518,0.033,0.505,0.036,0.031,0.003,0.098,0.009,0.021,0.002
BPI2015_1,1199,52217,0.508,0.032,0.492,0.036,0.028,0.002,0.095,0.008,0.018,0.002
BPI2015_2,832,44354,0.495,0.030,0.481,0.033,0.025,0.002,0.082,0.007,0.016,0.001
BPI2015_3,1409,59681,0.512,0.034,0.498,0.037,0.031,0.003,0.102,0.009,0.019,0.002
BPI2015_4,1053,47293,0.505,0.033,0.489,0.035,0.027,0.002,0.088,0.008,0.017,0.002
BPI2015_5,1156,59083,0.510,0.031,0.495,0.034,0.030,0.002,0.096,0.008,0.018,0.002